"gender","greek","homeTown","highSchool","age","major","ethnicity","belief","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","politicalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Male","No","Medium City","In some classes",20,"RST","White","Evolution","Atheist",0,1000,"very closely","Unsure",5,0,1,0,4,2,3,1,6,6,10,2,10,10,3,10,1,0,"Other",0,8,6,10,10,30,"Unsure"
"Female","No","Big City","Yes",17,"Undeclared","Black","Divine Guidance","Christian",7,90,"some","Hillary Clinton",3,1,6,0,8,9,3,2,5,4,10,4,6,9,3,2,8,7,"Democrat",-1,6,5,7,0,10,"Yes"
"Male","No","Medium City","Not Sure",19,"Chemistry and MCB","Asian","Evolution","Other Religion",7,150,"very closely","Hillary Clinton",8,6,8,2,4,4,8,10,10,5,10,0,10,5,10,10,0,0,"Other",-1,-1,5,8,10,100,"No"
"Male","Yes","Big City Subrub","Yes",19,"Animal Science","Hispanic","Evolution","Atheist",0,120,"some","Bernie Sanders",3,7,8,6,7,6,4,2,9,7,7,2,5,5,8,4,4,7,"Democrat",4,9,8,5,10,30,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"Economics","White","Evolution","Christian",2,100,"closely","Bernie Sanders",4,5,10,6,1,7,1,1,1,6,4,1,7,7,7,1,6,1,"Democrat",9,10,3,0,0,0,"Yes"
"Male","Yes","Small Town","Not Sure",19,"Political Science and Psych","White","Evolution","Agnostic",1,100,"very closely","Bernie Sanders",2,10,2,9,10,7,5,1,6,8,8,2,8,5,7,6,1,1,"Democrat",10,10,2,10,0,60,"No"
"Male","Yes","Big City","Yes",21,"Agriculture and Biological Engineering","White","Divine Guidance","Atheist",1,80,"very closely","Bernie Sanders",1,10,9,8,7,6,5,4,3,6,10,0,7,7,0,2,1,10,"Independent",10,8,0,6,0,50,"Yes"
"Female","No","Medium City","Yes",19,"Undeclared","White","Divine Guidance","Christian",8,200,"some","Bernie Sanders",6,8,8,5,6,6,4,4,6,7,8,3,5,5,5,10,5,3,"Democrat",4,7,5,7,0,100,"Yes"
"Male","No","Big City","Yes",18,"political science","Hispanic","Divine Guidance","Christian",6,100,"closely","Bernie Sanders",3,7,6,8,8,2,5,7,2,3,10,0,5,1,6,6,4,7,"Democrat",0,4,2,10,0,80,"Yes"
"Female","No","Medium City","Yes",19,"Industrial Design","Asian","Evolution","Hindu",7,65,"Not at all","Hillary Clinton",5,7,10,8,8,9,6,8,9,6,6,8,5,5,7,8,5,8,"Democrat",-1,-1,5,8,10,100,"Yes"
"Female","Yes","Big City","No",18,"Integrative Biology","Other","Evolution","Agnostic",0,300,"some","Bernie Sanders",4,8,0,9,10,9,10,0,5,5,7,0,1,1,0,0,3,1,"Democrat",1,2,5,2,0,100,"No"
"Male","No","Big City Subrub","Yes",19,"Economics","Asian","Evolution","Agnostic",1,100,"some","Hillary Clinton",9,5,2,6,2,5,7,3,2,8,9,2,2,2,6,0,1,1,"Other",-1,-1,3,7,0,100,"Unsure"
"Male","No","Big City","Yes",23,"New Media","Hispanic","Evolution","Agnostic",0,9999,"some","Bernie Sanders",5,10,8,9,7,9,9,7,10,8,10,2,5,5,9,7,7,6,"Democrat",0,7,10,10,0,100,"No"
"Male","Yes","Medium City","Yes",19,"Undecided","White","Divine Guidance","Christian",4,100,"some","Ted Cruz",7,3,9,3,6,5,6,8,5,8,3,6,4,8,8,10,4,2,"Republican",8,8,6,9,5,100,"No"
"Female","No","Big City Subrub","Not Sure",19,"DGS","White","Divine Guidance","Christian",5,60,"very closely","Bernie Sanders",1,10,8,10,10,10,3,2,10,5,9,2,8,2,9,9,7,9,"Democrat",10,10,7,7,15,30,"Yes"
"Female","Yes","Medium City","Yes",19,"community health","White","Evolution","Christian",3,200,"some","Ted Cruz",4,4,10,10,10,10,6,6,8,8,10,2,5,5,0,8,5,8,"Democrat",10,10,4,10,0,100,"Unsure"
"Female","Yes","Big City Subrub","Not Sure",18,"Food Science","White","Divine Guidance","Christian",2,70,"some","Unsure",6,8,10,3,4,7,2,6,5,9,8,4,5,6,7,9,10,3,"Republican",5,7,4,7,5,100,"Yes"
"Male","No","Medium City","Not Sure",21,"I Biology","White","Evolution","Christian",2,150,"some","Donald Trump",9,9,7,3,6,4,8,9,2,4,4,7,5,5,7,9,2,5,"Republican",7,10,8,10,15,50,"Unsure"
"Female","No","Big City","Yes",19,"DGS","Asian","Evolution","Atheist",0,70,"closely","Bernie Sanders",2,7,7,10,10,10,10,9,7,8,9,0,8,7,4,6,5,10,"Democrat",10,10,10,5,15,0,"No"
"Male","Yes","Big City","Yes",19,"undeclared","White","Evolution","Other Religion",2,99,"some","Donald Trump",3,8,10,6,6,5,5,5,4,8,2,4,3,4,7,10,8,2,"Republican",3,3,10,9,0,0,"Yes"
"Female","No","Big City Subrub","Yes",20,"Spanish","White","Creationism","Christian",7,40,"some","Donald Trump",10,0,0,2,1,3,5,7,2,1,2,3,5,5,3,1,2,0,"Republican",0,0,0,9,10,80,"Yes"
"Female","Yes","Big City","Yes",18,"Psychology","White","Evolution","Christian",5,150,"closely","Hillary Clinton",5,8,8,5,7,9,8,8,4,5,9,2,6,6,6,5,5,7,"Democrat",4,4,8,10,0,100,"No"
"Female","Yes","Big City Subrub","Yes",19,"Kinesiology","White","Divine Guidance","Christian",4,150,"some","Hillary Clinton",3,7,9,7,7,7,5,3,8,7,8,3,8,8,3,9,8,4,"Other",9,9,6,10,5,80,"Yes"
"Female","No","Medium City","No",18,"undecided","Asian","None of the above","Atheist",1,10000,"some","Hillary Clinton",5,9,3,1,6,6,0,0,0,0,5,0,5,5,4,2,2,1,"Other",0,0,8,10,5,100,"Unsure"
"Female","No","Big City","Yes",18,"Elementary Education","Hispanic","Divine Guidance","Christian",7,50,"some","Bernie Sanders",4,7,8,10,10,10,5,7,7,8,8,3,9,4,8,8,7,3,"Democrat",0,7,5,10,15,70,"Unsure"
"Female","Yes","Big City Subrub","No",22,"Atmospheric science","White","Divine Guidance","Christian",7,80,"closely","Bernie Sanders",5,10,9,7,9,9,6,4,8,4,3,3,5,3,7,4,3,7,"Democrat",10,8,7,9,10,90,"Unsure"
"Other","No","Small Town","Not Sure",19,"Undecided","White","Divine Guidance","Christian",4,120,"very closely","Bernie Sanders",2,10,10,10,10,10,4,1,8,10,10,0,7,1,9,4,4,9,"Independent",10,10,5,6,0,0,"No"
"Female","Yes","Big City Subrub","Not Sure",18,"Community health","White","Divine Guidance","Christian",3,85,"very closely","Hillary Clinton",9,8,7,10,10,10,5,0,10,7,6,0,2,7,7,8,5,10,"Democrat",10,10,5,10,0,0,"Yes"
"Female","Yes","Small Town","Yes",18,"undecided","White","Divine Guidance","Christian",5,80,"some","Hillary Clinton",5,8,7,10,6,8,0,0,0,7,7,0,6,6,8,8,3,0,"Other",9,10,6,8,25,70,"No"
"Male","No","Medium City","Yes",19,"Natural Resources and Environmental Science","White","Evolution","Atheist",0,50,"very closely","Bernie Sanders",1,10,3,9,9,9,2,0,10,5,10,2,7,7,10,5,3,5,"Democrat",10,10,5,10,0,100,"Yes"
"Male","No","Big City Subrub","Yes",18,"Undecided","Black","Evolution","Christian",5,80,"closely","Hillary Clinton",1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Democrat",10,10,5,8,0,70,"Yes"
"Female","No","Medium City","Yes",19,"Elementary Education","Asian","Creationism","Christian",8,60,"some","Bernie Sanders",5,4,9,5,8,9,6,1,10,7,10,1,8,8,2,7,8,10,"Independent",0,0,5,8,0,60,"No"
"Male","No","Big City","Yes",19,"Undeclared","Black","Creationism","Christian",8,999,"some","Bernie Sanders",2,7,5,7,8,8,0,4,3,7,8,0,10,4,5,4,3,7,"Democrat",8,10,1,9,0,0,"Yes"
"Female","No","Small Town","Not Sure",21,"HDFS","Other","Creationism","Christian",5,200,"some","Bernie Sanders",5,3,6,5,9,10,4,0,1,2,8,1,6,7,5,10,9,2,"Democrat",0,2,4,7,0,0,"Yes"
"Female","No","Big City","Yes",18,"Kinesiology","Asian","Divine Guidance","Christian",8,20,"some","Hillary Clinton",5,6,8,5,8,6,3,5,5,5,4,4,5,4,6,8,7,7,"Democrat",10,10,5,7,0,80,"Yes"
"Male","No","Big City","Yes",18,"Business","Asian","Evolution","Buddhist",5,10,"some","Hillary Clinton",5,10,10,10,10,6,3,3,8,3,8,3,5,5,5,5,6,3,"Independent",-1,-1,2,8,0,60,"No"
"Female","Yes","Medium City","Not Sure",19,"undecided","White","Evolution","Christian",3,500,"some","John Kacich",4,9,7,7,4,8,3,2,0,6,8,3,7,6,5,10,9,4,"Republican",0,10,9,4,10,100,"Yes"
"Male","Yes","Medium City","Yes",19,"Undecided","White","Divine Guidance","Christian",6,200,"some","Bernie Sanders",2,8,7,8,5,5,5,3,5,8,6,3,0,0,2,3,3,0,"Democrat",10,10,7,7,0,100,"Yes"
"Male","No","Big City","Not Sure",18,"undecided","Black","Evolution","Agnostic",0,200,"some","Bernie Sanders",5,5,10,8,10,5,3,2,2,3,3,2,5,8,5,8,2,0,"Democrat",1,1,5,9,10,0,"Unsure"
"Female","No","Big City Subrub","In some classes",18,"Communication","Black","Divine Guidance","Christian",4,900,"some","Bernie Sanders",1,9,4,10,10,10,5,0,7,7,10,0,7,4,5,2,2,3,"Other",10,10,5,8,5,0,"Unsure"
"Female","No","Big City Subrub","Not Sure",19,"Economics","Hispanic","Creationism","Christian",6,90,"some","Bernie Sanders",4,8,9,9,10,9,10,2,2,8,10,1,7,5,7,9,8,9,"Democrat",8,9,4,9,0,70,"Yes"
"Male","No","Medium City","In some classes",20,"RST","Hispanic","Divine Guidance","Christian",6,50,"some","Bernie Sanders",5,7,7,7,7,7,7,7,7,9,7,8,7,7,5,9,7,5,"Democrat",5,5,4,10,0,30,"Yes"
"Female","Yes","Medium City","Yes",21,"Social Work","Hispanic","Creationism","Christian",6,80,"closely","Bernie Sanders",0,10,5,10,10,10,2,5,10,7,4,7,3,6,6,3,9,6,"Democrat",0,0,0,9,0,0,"Yes"
"Female","No","Big City Subrub","Not Sure",22,"Elementary Education","Asian","Creationism","Muslim",8,60,"some","Bernie Sanders",4,8,8,10,10,10,6,5,10,10,9,3,9,8,5,5,5,9,"Democrat",-1,-1,5,8,0,0,"Yes"
"Female","No","Big City","Yes",19,"Chemistry","White","Evolution","Christian",3,120,"some","John Kacich",4,10,10,10,10,10,10,10,10,10,10,0,5,5,1,10,10,5,"Democrat",5,10,8,10,30,0,"Unsure"
"Female","No","Big City Subrub","Yes",20,"Communications","Other","Creationism","Christian",7,9999,"closely","Bernie Sanders",5,8,9,7,10,4,3,5,6,2,8,3,7,4,9,10,5,6,"Independent",1,10,3,7,0,10,"Yes"
"Female","No","Big City","No",18,"communications","Hispanic","Divine Guidance","Christian",7,80,"some","Bernie Sanders",2,9,6,8,8,8,1,0,5,10,10,1,7,7,9,6,1,7,"Democrat",10,10,5,7,0,100,"Yes"
"Female","No","Big City Subrub","Yes",19,"Interdisciplinary Health","Asian","Creationism","Christian",2,150,"closely","Bernie Sanders",4,3,8,5,7,9,4,3,8,5,5,8,10,8,4,7,7,3,"Democrat",10,10,10,7,30,100,"Yes"
"Female","Yes","Medium City","Yes",18,"Elementary Education","White","Evolution","Christian",6,45,"some","Bernie Sanders",3,5,7,7,5,6,4,3,6,5,10,5,5,5,6,4,4,5,"Democrat",7,9,4,8,10,0,"Unsure"
"Male","No","Medium City","In some classes",19,"RST","White","Creationism","Christian",10,50,"some","Marco Rubio",6,5,8,7,10,5,7,7,10,6,5,7,5,5,5,9,7,3,"Republican",10,10,8,8,0,10,"No"
"Male","No","Medium City","Yes",20,"Sociology","Black","Divine Guidance","Other Religion",7,800,"some","Bernie Sanders",3,9,7,10,10,9,3,2,5,7,10,1,10,1,2,4,4,6,"Independent",8,10,8,7,20,0,"Yes"
"Female","Yes","Big City","Yes",19,"Global Studies","White","Evolution","Christian",2,100,"some","Hillary Clinton",3,10,7,5,6,8,6,1,10,6,6,6,5,5,3,7,8,9,"Democrat",9,10,4,10,15,50,"Yes"
"Female","No","Medium City","In some classes",23,"Elementary Education","Hispanic","Divine Guidance","Other Religion",7,60,"some","Bernie Sanders",3,9,6,4,8,3,5,2,10,7,10,6,8,3,7,9,5,4,"Democrat",8,10,5,9,0,10,"Yes"
"Female","Yes","Big City Subrub","Yes",18,"undecided","White","Divine Guidance","Christian",3,150,"closely","Bernie Sanders",5,8,6,10,1,6,3,4,7,10,7,3,10,10,2,5,1,1,"Independent",0,0,4,9,40,100,"No"
"Female","No","Big City Subrub","Yes",18,"RST","White","Divine Guidance","Christian",4,100,"some","Bernie Sanders",5,8,5,8,5,7,4,2,4,2,7,5,0,0,1,5,6,1,"Other",-1,-1,5,8,0,90,"Unsure"
"Female","No","Small Town","Yes",18,"econ","Hispanic","Evolution","Buddhist",2,1,"some","Bernie Sanders",2,4,5,3,1,2,9,7,8,6,2,10,7,3,1,3,8,9,"Republican",7,2,2,5,15,70,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"Speech and Hearing Sciences","White","Divine Guidance","Christian",7,80,"some","Ted Cruz",6,1,10,7,4,10,7,5,6,8,7,2,5,5,5,10,8,7,"Republican",2,9,4,9,5,10,"Unsure"
"Female","No","Medium City","Yes",19,"undecided","Black","None of the above","Christian",8,100,"Not at all","Hillary Clinton",3,6,8,5,10,10,4,3,10,5,3,4,7,8,5,7,10,2,"Independent",3,4,8,7,5,20,"No"
"Male","No","Medium City","Yes",22,"Landscape Architecture","Asian","Evolution","Buddhist",6,10000,"some","Hillary Clinton",2,9,10,10,10,10,4,2,7,7,10,5,5,5,9,4,6,6,"Other",-1,-1,10,5,10,80,"Unsure"
"Male","No","Big City","Yes",19,"Undeclared","Hispanic","Divine Guidance","Christian",5,55,"some","Bernie Sanders",5,6,9,4,10,5,8,2,4,7,10,1,8,3,4,6,5,7,"Democrat",8,10,5,10,10,60,"Yes"
"Female","No","Medium City","Not Sure",20,"Undeclared","Black","None of the above","Christian",0,137,"some","Bernie Sanders",5,2,9,7,10,6,5,4,8,5,10,3,4,5,6,8,9,7,"Other",8,3,3,9,5,0,"Unsure"
"Female","Yes","Big City Subrub","Yes",19,"Art History","White","Divine Guidance","Christian",8,200,"closely","Bernie Sanders",5,5,0,9,2,6,2,8,3,10,7,2,8,4,1,9,0,10,"Democrat",7,7,5,8,10,100,"No"
"Male","No","Big City Subrub","Yes",20,"Technical Systems Management","White","Evolution","Christian",5,100,"closely","Marco Rubio",7,8,5,5,5,5,5,5,5,5,6,2,5,5,7,7,5,0,"Republican",0,5,8,8,0,100,"Yes"
"Female","No","Big City Subrub","Not Sure",19,"sociology","White","Creationism","Christian",4,100,"some","Donald Trump",7,2,7,4,0,6,10,4,6,10,5,10,6,5,7,10,6,3,"Republican",4,5,5,10,0,50,"Yes"
"Female","Yes","Big City","No",19,"DGS","Asian","Evolution","Agnostic",1,100,"some","Bernie Sanders",2,8,10,2,10,9,6,1,6,2,10,8,7,4,7,5,4,1,"Independent",-1,-1,3,9,0,100,"Yes"
"Male","Yes","Big City Subrub","Yes",18,"math","White","Evolution","Atheist",0,120,"closely","Donald Trump",5,6,10,6,5,5,10,5,10,5,10,5,3,3,5,5,0,0,"Independent",5,10,0,8,0,50,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Environmental Sustainability","White","Divine Guidance","Other Religion",3,90,"some","Bernie Sanders",2,8,4,6,10,7,5,0,2,1,10,0,9,3,4,8,2,5,"Democrat",10,0,5,4,0,0,"Yes"
"Female","No","Big City Subrub","Yes",19,"Human Development & Family Studies","Other","Divine Guidance","Other Religion",5,900,"some","Bernie Sanders",0,8,7,9,9,7,8,9,6,5,10,0,3,3,2,3,8,8,"Independent",5,6,9,8,5,90,"Unsure"
"Female","No","Big City","Yes",19,"Undecided","Asian","Evolution","Christian",2,70,"some","Hillary Clinton",3,6,4,6,7,6,5,5,9,7,6,3,8,8,8,4,4,10,"Democrat",-1,-1,4,10,10,100,"Yes"
"Female","Yes","Big City Subrub","No",19,"Environmental Science","White","Evolution","Other Religion",2,80,"very closely","Bernie Sanders",2,10,7,9,9,9,5,1,9,5,8,3,8,1,9,9,8,6,"Democrat",10,10,6,7,0,50,"Unsure"
"Female","Yes","Big City Subrub","Yes",19,"Global Studies","Hispanic","Evolution","Christian",1,360,"some","Bernie Sanders",4,8,5,6,6,5,7,0,10,9,10,2,9,9,8,2,4,10,"Democrat",10,10,5,10,0,0,"No"
"Male","No","Medium City","In some classes",19,"DGS","White","Evolution","Atheist",0,250,"very closely","Bernie Sanders",0,10,3,9,10,8,3,0,7,7,10,2,7,5,10,5,2,10,"Democrat",10,10,5,10,20,100,"Yes"
"Female","No","Medium City","Yes",18,"Global Studies","White","None of the above","Christian",7,100,"closely","Bernie Sanders",4,10,10,10,10,8,7,5,7,5,9,3,0,0,0,6,0,10,"Democrat",10,10,5,9,10,100,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"Elementary Education","White","Creationism","Christian",7,200,"Not at all","Unsure",6,4,10,5,9,6,5,2,10,5,4,2,2,2,2,8,6,2,"Republican",10,10,7,10,0,100,"Yes"
"Female","No","Big City","Yes",18,"econ","Asian","None of the above","Atheist",2,1000,"some","Hillary Clinton",5,5,5,8,5,5,5,6,5,7,5,3,5,3,4,7,5,5,"Republican",-1,-1,5,8,0,100,"Unsure"
"Female","No","Big City Subrub","Yes",19,"English","White","Evolution","Christian",5,100,"closely","Bernie Sanders",2,9,7,8,10,10,3,0,8,5,8,5,10,5,10,10,8,5,"Democrat",0,10,5,5,0,100,"No"
"Female","No","Big City Subrub","Not Sure",18,"Psychology","Black","Creationism","Christian",6,97,"some","Bernie Sanders",2,3,7,6,9,8,2,7,7,6,6,3,9,9,7,7,6,10,"Democrat",-1,10,7,8,0,0,"Yes"
"Male","No","Big City Subrub","Yes",19,"Business","Asian","Divine Guidance","Agnostic",1,100,"closely","Bernie Sanders",3,10,10,10,10,5,7,2,10,3,10,1,2,2,0,5,5,2,"Democrat",2,10,5,10,0,100,"Unsure"
"Female","No","Big City","No",20,"DGS","Asian","Evolution","Buddhist",0,1000,"some","Unsure",5,5,5,8,9,10,4,1,10,9,6,3,5,5,1,5,5,3,"Other",-1,-1,5,10,0,100,"Unsure"
"Male","No","Big City","Not Sure",19,"Interdisciplinary Health","Asian","Evolution","Christian",5,100,"some","Bernie Sanders",5,10,8,5,7,2,3,1,0,9,10,0,0,0,0,10,10,0,"Independent",0,0,4,7,0,100,"Unsure"
"Male","Yes","Small Town","Yes",21,"Kinesiology","Hispanic","Evolution","Agnostic",0,60,"Not at all","Bernie Sanders",4,2,6,8,2,5,6,0,4,6,4,5,8,7,10,8,5,8,"Democrat",1,0,9,8,15,0,"No"
"Female","No","Big City","Not Sure",19,"Psychology","Hispanic","Divine Guidance","Christian",7,120,"some","Bernie Sanders",3,6,8,10,7,6,8,7,10,10,10,2,5,5,1,10,3,10,"Democrat",10,10,5,10,0,80,"Yes"
"Female","No","Small Town","No",19,"Music Performance","White","Creationism","Christian",8,25,"some","Ben Carson",7,7,7,4,7,7,5,0,0,9,5,7,0,10,1,0,2,1,"Republican",0,0,6,9,15,30,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"English","Hispanic","Divine Guidance","Other Religion",6,45,"some","Bernie Sanders",0,7,4,8,8,9,7,3,7,9,10,0,10,3,10,10,9,7,"Democrat",2,7,10,10,10,0,"Unsure"
"Female","No","Big City","Yes",21,"english","Black","Creationism","Christian",5,80,"closely","Bernie Sanders",0,10,0,10,10,10,5,0,10,6,10,0,0,0,0,0,0,5,"Democrat",5,10,5,0,10,0,"Yes"
"Female","No","Big City","Yes",18,"Business","Asian","None of the above","Atheist",1,30,"some","Donald Trump",2,5,7,5,4,3,1,2,3,6,5,2,5,4,4,5,5,4,"Other",-1,-1,4,8,0,100,"Unsure"
"Male","Yes","Big City Subrub","Not Sure",19,"Undecided","White","Divine Guidance","Christian",5,80,"some","John Kacich",7,9,8,3,9,10,7,8,9,9,8,6,5,9,9,7,5,0,"Republican",3,10,5,9,0,90,"Unsure"
"Female","No","Big City","No",19,"ESE","Black","Creationism","Christian",10,120,"closely","Bernie Sanders",5,9,4,8,9,8,6,0,0,1,8,0,6,2,2,1,1,7,"Democrat",10,10,5,8,0,0,"Unsure"
"Female","No","Small Town","Not Sure",19,"Undeclared","Other","Evolution","Agnostic",0,80,"very closely","Hillary Clinton",0,5,5,10,10,10,5,5,10,10,2,2,10,3,10,10,10,10,"Democrat",10,10,5,9,10,0,"Yes"
"Female","Yes","Big City Subrub","In some classes",20,"Environmental Science (NRES)","Asian","Divine Guidance","Christian",3,80,"some","Unsure",4,10,6,7,7,8,6,4,6,9,7,5,9,7,4,4,8,3,"Democrat",4,6,6,7,0,100,"Unsure"
"Female","Yes","Small Town","Not Sure",19,"Music Education","White","None of the above","Atheist",0,26,"some","Bernie Sanders",5,7,6,5,10,10,6,5,3,6,10,4,5,5,9,8,8,7,"Independent",0,10,5,10,5,90,"Yes"
"Male","No","Big City","No",19,"Psychology","Other","Divine Guidance","Agnostic",5,80,"some","Bernie Sanders",3,8,8,7,10,8,5,2,9,10,5,4,7,7,7,8,5,7,"Democrat",10,10,5,8,20,10,"Yes"
"Female","No","Medium City","Yes",20,"Psychology","Hispanic","Divine Guidance","Other Religion",4,66,"some","Bernie Sanders",5,8,8,10,10,10,10,6,5,5,10,3,5,5,6,10,7,4,"Democrat",7,9,5,8,10,0,"Yes"
"Male","No","Small Town","No",18,"DGS","White","Creationism","Jewish",1,10000,"Not at all","Donald Trump",1,0,0,1,3,1,2,1,2,1,2,2,1,1,2,4,6,5,"Democrat",7,2,1,1,0,100,"Yes"
"Female","No","Big City Subrub","Yes",19,"Spanish and Pre- Nursing","Black","Creationism","Christian",8,100,"closely","Bernie Sanders",1,1,10,10,10,10,10,0,5,10,5,0,8,8,1,10,8,10,"Democrat",10,10,5,10,0,100,"Yes"
"Female","Yes","Big City Subrub","No",19,"Communications","White","Evolution","Christian",2,200,"some","Marco Rubio",6,4,6,4,5,8,5,5,7,9,3,5,7,8,6,8,9,3,"Republican",2,10,3,7,0,80,"Yes"
"Female","Yes","Big City Subrub","Not Sure",18,"Psychology","White","Divine Guidance","Christian",6,100,"Not at all","Marco Rubio",5,7,9,7,8,4,5,3,6,9,4,4,4,5,1,3,4,4,"Democrat",0,0,0,2,0,70,"Unsure"
"Male","Yes","Big City Subrub","Yes",19,"undeclared","White","Evolution","Atheist",0,75,"very closely","Bernie Sanders",0,10,6,10,10,10,1,0,7,8,10,1,5,5,10,5,2,8,"Democrat",10,10,3,10,15,50,"Yes"
"Female","No","Big City Subrub","Yes",18,"Psychology","Black","Divine Guidance","Christian",3,100,"some","Bernie Sanders",8,6,10,8,10,9,9,5,10,7,9,9,5,5,5,9,9,10,"Democrat",9,10,8,9,10,80,"No"
"Female","Yes","Big City Subrub","Yes",19,"community health","White","Divine Guidance","Christian",10,70,"some","Bernie Sanders",4,6,10,10,8,10,5,0,10,8,10,1,3,3,1,3,3,3,"Democrat",3,5,6,10,0,70,"Unsure"
"Female","No","Big City Subrub","Yes",19,"undecided","Hispanic","Evolution","Atheist",1,1,"closely","Bernie Sanders",1,10,9,10,10,10,10,1,9,9,10,0,10,2,5,0,2,1,"Democrat",10,10,5,7,10,100,"Yes"
"Female","No","Medium City","Yes",18,"Journalism","White","Evolution","Christian",10,80,"closely","John Kacich",6,7,7,3,4,5,6,3,3,8,8,7,10,10,10,10,7,6,"Republican",10,10,5,8,15,50,"No"
"Female","No","Small Town","Yes",23,"Theatre","Hispanic","Divine Guidance","Christian",5,120,"closely","Bernie Sanders",4,5,7,8,10,9,8,3,9,6,10,4,8,9,9,9,6,5,"Democrat",10,10,8,9,0,0,"No"
"Female","Yes","Big City Subrub","Not Sure",19,"Special Education","White","Evolution","Jewish",0,50,"closely","Bernie Sanders",0,7,10,6,8,8,4,1,9,7,6,5,10,0,5,10,8,10,"Democrat",10,10,0,10,0,100,"Yes"
"Male","Yes","Small Town","Yes",20,"TSM","White","Divine Guidance","Christian",7,80,"very closely","Donald Trump",9,2,10,5,5,5,10,7,0,4,6,9,5,10,1,10,7,4,"Republican",10,10,3,10,40,0,"Yes"
"Female","No","Big City","Yes",18,"Psychology","Asian","Evolution","Buddhist",0,150,"some","Bernie Sanders",2,6,8,10,10,10,5,5,7,4,5,1,5,5,8,10,6,0,"Democrat",0,6,5,10,0,10,"Yes"
"Female","Yes","Medium City","Not Sure",19,"Biology","White","Divine Guidance","Christian",4,99999,"some","Donald Trump",7,6,8,4,9,10,10,5,0,8,4,10,0,10,3,10,7,4,"Republican",10,10,5,9,0,100,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"social work","White","Divine Guidance","Jewish",5,100,"some","Bernie Sanders",6,8,10,10,9,10,9,6,8,8,6,6,5,5,4,9,6,10,"Republican",3,10,3,10,0,100,"Yes"
"Female","No","Big City Subrub","Yes",19,"CS+Linguistics","Asian","Creationism","Muslim",8,135,"some","Bernie Sanders",6,7,4,9,9,8,2,9,9,8,10,0,10,5,2,6,4,9,"Democrat",10,9,6,10,0,100,"Yes"
"Male","No","Small Town","Yes",18,"Undeclared","White","Creationism","Christian",6,10000,"some","Bernie Sanders",7,8,8,8,10,4,3,10,6,2,10,2,3,4,5,6,7,8,"Republican",3,10,3,10,0,0,"No"
"Female","No","Big City","Yes",18,"Chemistry","Asian","Evolution","Agnostic",0,95,"some","Bernie Sanders",5,5,7,5,10,5,8,5,3,4,9,5,5,5,10,7,5,7,"Democrat",9,10,2,7,0,100,"Yes"
"Female","Yes","Big City","Yes",19,"Learning and Education Studies","Hispanic","Creationism","Christian",6,40,"some","Bernie Sanders",5,7,10,10,10,10,10,7,7,5,8,0,6,4,4,8,5,7,"Democrat",10,10,5,8,10,10,"Unsure"
"Female","No","Medium City","Yes",19,"ihealth","Black","Divine Guidance","Christian",5,80,"closely","Bernie Sanders",7,7,9,10,10,10,7,7,10,8,7,7,7,7,7,7,7,7,"Democrat",9,10,10,8,0,30,"Yes"
"Female","Yes","Big City Subrub","Yes",18,"Elementary Education","White","Divine Guidance","Christian",7,80,"closely","Bernie Sanders",2,8,8,9,10,10,5,1,7,7,8,4,7,4,4,7,5,2,"Democrat",7,10,8,8,0,80,"No"
"Male","No","Big City Subrub","Not Sure",18,"undeclared","Black","Evolution","Other Religion",3,800,"some","Bernie Sanders",2,8,8,8,8,8,3,8,0,0,8,1,5,5,8,8,5,0,"Other",5,5,7,10,35,10,"Yes"
"Male","No","Big City","Yes",19,"Dgs","Asian","None of the above","Agnostic",0,10000,"some","Donald Trump",5,8,8,0,0,2,7,0,10,9,8,0,6,8,10,10,2,1,"Other",-1,-1,2,10,0,100,"No"
"Male","No","Big City Subrub","Not Sure",19,"Undeclared","White","Divine Guidance","Christian",8,60,"very closely","Ted Cruz",8,3,9,1,2,0,9,8,0,8,8,6,3,10,7,9,7,4,"Republican",5,8,4,7,15,100,"Yes"
"Female","No","Big City","Yes",19,"Elementary Education","Hispanic","Divine Guidance","Other Religion",3,120,"some","Bernie Sanders",5,8,7,6,10,10,10,10,8,7,9,5,7,7,5,8,8,7,"Democrat",8,10,5,8,0,100,"Yes"
"Female","No","Small Town","Not Sure",19,"Media Studies","White","Evolution","Agnostic",1,100,"very closely","Bernie Sanders",0,10,10,10,10,10,2,0,8,7,10,0,10,0,7,6,6,6,"Democrat",10,10,4,10,0,100,"Yes"
