"gender","Age","height","weight","Pets","Speed","Cash","Sleep","Shoes","Charity","Cheat","Greek","Handed","Soulmate"
"female",18,71,130,0,100,10,7,20,75,10,"no","right","dozens"
"female",18,71,110,2,90,100,8,25,50,0,"no","right","one"
"female",19,62,130,6,115,16,6,14,90,6,"no","right","one"
"male",20,73,175,5,110,26,7,6,45,6,"yes","right","few"
"female",19,62,140,4,95,14,7,22,75,10,"yes","right","few"
"female",18,64,125,1,90,60,7.5,10,75,0,"no","left","millions"
"female",20,68,125,2,80,25,7,10,50,0,"no","right","none"
"male",18,64,160,12,110,20,7,4,80,0,"no","right","one"
"male",18,67,180,1,105,0,6.5,12,50,0,"no","right","one"
"female",18,62,130,3,80,15,6,6,75,2,"no","right","few"
"female",19,64,109,2,85,150,4.5,40,100,3,"yes","right","one"
"male",19,62,200,0,112,150,9,3,0,3,"no","right","millions"
"male",19,70,185,6,140,30,7,4,25,0,"no","right","few"
"female",18,75,140,3,90,15,7,6,80,10,"no","right","few"
"male",19,67,196,3,122,30,6,9,85,0,"yes","ambidextrous","hundreds"
"female",18,59,115,2,85,40,7.5,10,95,3,"no","ambidextrous","one"
"female",18,69,130,2,70,40,7,15,90,10,"no","right","few"
"female",19,69,175,5,100,24,6,12,100,10,"no","ambidextrous","few"
"female",19,62,160,3,96,35,7,15,55,3,"no","right","few"
"female",18,71,115,1,70,60,7,30,90,0,"no","right","one"
"female",20,66,170,51,111,6,7,6,95,0,"yes","right","hundreds"
"male",22,66,165,2,90,0,8,5,10,1,"yes","left","one"
"male",18,65,186,3,80,20,7,10,35,20,"no","right","few"
"female",19,75,185,3,94,52,6.5,11,90,1,"no","right","few"
"female",19,70,117,3,85,10,7,21,95,0,"no","right","one"
"female",18,68,135,1,80,20,6.5,10,50,20,"no","right","dozens"
"female",19,68,130,4,85,200,6,6,80,0,"no","right","few"
"female",19,66,140,0,65,130,7,12,5,0,"no","right","one"
"female",19,67,145,5,85,35,9,20,15,0,"no","right","few"
"male",18,62,125,3,100,0,6,15,75,1,"no","right","one"
"male",19,70,165,2,90,0,7.5,4,25,0,"yes","right","hundreds"
"female",19,70,142,4,100,5,7,23,50,2,"no","right","few"
"female",18,63,140,3,85,35,9,51,25,0,"no","right","few"
"male",19,64,150,1,150,11,7.5,15,100,5,"yes","right","dozens"
"male",19,67,175,2,105,200,7.5,3,5,0,"no","left","thousands"
"male",19,74,196,1,86,33,6,6,85,0,"no","right","few"
"female",19,73,175,1,95,10,7,10,70,2,"no","left","hundreds"
"female",18,61,120,1,85,100,8.5,7,50,10,"yes","right","few"
"female",20,76,160,3,97,10,7,40,60,10,"yes","right","few"
"female",18,66,132,21,80,30,6.5,12,100,15,"no","right","thousands"
"female",18,65,101,1,55,70,7,10,90,0,"no","right","dozens"
"female",19,66,120,0,0,500,7,15,40,2,"no","right","few"
"male",18,64,175,0,100,20,8,9,50,4,"no","right","dozens"
"female",19,64,140,0,90,3,9,17,100,20,"no","right","few"
"female",20,68,130,2,100,70,7,60,50,0,"yes","right","one"
"female",19,62,118,0,90,20,8,10,100,2,"no","right","few"
"male",18,71,145,1,83,30,8,6,50,2,"no","right","dozens"
"male",19,64,160,5,100,10,6.5,9,25,0,"yes","right","few"
"female",19,70,114,6,90,20,7,14,35,0,"yes","right","one"
"female",20,70,132,1,80,10,7,17,60,0,"yes","right","few"
"female",19,64,185,0,90,15,7,30,100,0,"no","right","one"
"male",20,66,170,1,100,15,6,5,50,0,"yes","right","hundreds"
"female",19,66,145,0,118,60,8.5,30,100,15,"no","right","hundreds"
"female",19,69,118,4,75,4,7,15,70,0,"no","left","few"
"male",19,61,206,4,75,60,7.5,2,90,0,"no","right","one"
"male",18,67,170,0,90,84,7.5,4,100,1,"no","right","one"
"male",19,64,300,3,117,100,4,4,50,0,"yes","right","none"
"female",16,62,80,1,3,9,2.5,3,80,50,"no","right","one"
"male",20,63,176,0,75,6,8,4,40,10,"no","ambidextrous","none"
"female",19,60,115,4,100,20,8,21,80,2,"no","right","few"
"female",19,71,126,10,83,8,5.5,17,100,0,"no","left","few"
"female",19,67,120,2,85,45,6,29,45,0,"yes","right","few"
"male",18,66,172,3,110,100,8,3,10,5,"no","right","few"
"female",19,69,130,3,120,30,7,30,50,0,"no","right","one"
"female",19,67,157,0,120,10,8,20,75,2,"yes","right","few"
"male",19,66,165,0,100,0,7.5,2,35,4,"no","right","thousands"
"male",19,62,270,3,135,60,5,9,70,0,"yes","right","few"
"female",18,61,144,3,100,10,7,19,100,0,"no","right","dozens"
"male",19,69,130,1,90,67,8,6,75,0,"no","right","few"
"female",18,66,128,3,100,120,7.5,8,95,0,"no","right","dozens"
"female",18,65,135,4,81,15,6,7,100,1,"no","left","few"
"male",21,64,163,4,100,10,7,15,80,0,"no","left","dozens"
"male",19,70,184,1,85,10,7,3,60,30,"yes","right","dozens"
"female",19,70,105,0,60,200,6,15,95,0,"no","right","one"
"female",18,65,135,1,75,60,8,15,50,3,"no","right","dozens"
"female",19,62,140,1,65,25,6.5,13,100,5,"no","right","dozens"
"female",18,62,130,0,100,2,6,6,70,4,"no","right","thousands"
"female",19,72,145,3,75,25,7.5,7,50,0,"no","right","few"
"female",19,70,98,1,100,1,6.5,9,85,10,"no","ambidextrous","few"
"female",19,63,129,2,70,50,6,7,75,0,"no","right","one"
"female",19,65,122,2,95,22,7,30,50,1,"yes","right","few"
"male",19,66,155,3,145,0,7,6,50,1,"yes","right","few"
"male",20,66,137,0,125,40,6,6,50,0,"no","right","one"
"female",18,63,150,2,90,48,8,3,40,0,"no","right","few"
"male",19,67,185,1,115,300,6,8,10,5,"yes","right","few"
"female",18,70,143,4,98,80,8,12,50,6,"no","right","one"
"female",19,64,143,5,100,7,7.5,20,100,3,"yes","right","dozens"
"female",19,65,125,3,94,41,7,25,75,0,"yes","right","one"
"female",18,62,145,0,80,100,8.5,16,50,6,"no","right","one"
"male",20,68,182,0,110,200,4.5,7,75,3,"yes","right","few"
"female",20,67,125,3,90,66,8.5,14,100,0,"no","right","few"
"female",20,65,135,3,90,120,7.5,15,75,0,"no","right","few"
"female",18,67,140,0,70,70,7,15,30,0,"no","right","one"
"female",18,60,130,1,85,100,6.5,15,65,0,"no","right","few"
"female",19,49,130,3,80,14,8,15,50,1,"no","right","few"
"female",19,62,135,3,85,10,7,12,60,0,"no","right","dozens"
"male",20,67,138,1,50,13,7,4,0,0,"no","right","millions"
"female",19,66,127,4,90,22,6.5,15,65,3,"no","left","few"
"female",20,74,122,3,90,40,7,8,50,0,"no","ambidextrous","millions"
"female",21,63,121,3,100,6,7,14,50,2,"no","right","few"
"male",20,63,133,1,90,22,7,5,30,3,"no","right","few"
"female",18,66,110,1,90,1,8,3,50,5,"no","right","one"
"female",19,72,110,1,11,60,7,9,50,1,"no","right","few"
"male",19,72,180,2,140,20,8,8,0,0,"yes","right","few"
"female",19,67,135,1,97,6,7.5,50,50,3,"no","right","few"
"female",18,64,130,4,95,50,8,45,100,2,"no","right","one"
"male",18,70,166,1,90,120,8,4,50,0,"no","ambidextrous","one"
"male",18,63,137,2,91,20,9,4,5,10,"no","right","hundreds"
"female",23,64,119,0,0,10,6.5,12,30,3,"no","right","few"
"female",19,65,120,0,89,75,9,21,95,0,"no","right","one"
"female",19,65,151,1,85,45,7,10,50,3,"no","right","few"
"male",19,66,150,2,110,40,7.5,5,0,0,"yes","right","hundreds"
